SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 18:17:47.043529,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-60
1,DC:A6:32:2C:3B:38,2020-07-22 18:17:48.050871,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
2,DC:A6:32:2C:3B:38,2020-07-22 18:17:49.053303,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
3,DC:A6:32:2C:3B:38,2020-07-22 18:17:50.075262,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
4,DC:A6:32:2C:3B:38,2020-07-22 18:17:51.034776,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
5,DC:A6:32:2C:3B:38,2020-07-22 18:17:52.063549,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
6,DC:A6:32:2C:3B:38,2020-07-22 18:17:53.024935,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-65
7,DC:A6:32:2C:3B:38,2020-07-22 18:17:54.004921,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
8,DC:A6:32:2C:3B:38,2020-07-22 18:17:55.021219,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
9,DC:A6:32:2C:3B:38,2020-07-22 18:17:56.391320,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
10,DC:A6:32:2C:3B:38,2020-07-22 18:17:57.133848,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
11,DC:A6:32:2C:3B:38,2020-07-22 18:17:58.035158,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
12,DC:A6:32:2C:3B:38,2020-07-22 18:17:59.194097,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
13,DC:A6:32:2C:3B:38,2020-07-22 18:18:00.031669,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-60
14,DC:A6:32:2C:3B:38,2020-07-22 18:18:01.036622,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-58
15,DC:A6:32:2C:3B:38,2020-07-22 18:18:02.045458,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
16,DC:A6:32:2C:3B:38,2020-07-22 18:18:03.020503,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
17,DC:A6:32:2C:3B:38,2020-07-22 18:18:04.576786,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
18,DC:A6:32:2C:3B:38,2020-07-22 18:18:05.050584,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
19,DC:A6:32:2C:3B:38,2020-07-22 18:18:06.060647,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
20,DC:A6:32:2C:3B:38,2020-07-22 18:18:07.093149,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
21,DC:A6:32:2C:3B:38,2020-07-22 18:18:08.189480,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
22,DC:A6:32:2C:3B:38,2020-07-22 18:18:09.174491,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
23,DC:A6:32:2C:3B:38,2020-07-22 18:18:10.040756,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
24,DC:A6:32:2C:3B:38,2020-07-22 18:18:11.052150,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-58
25,DC:A6:32:2C:3B:38,2020-07-22 18:18:12.230956,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
26,DC:A6:32:2C:3B:38,2020-07-22 18:18:13.530969,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-58
27,DC:A6:32:2C:3B:38,2020-07-22 18:18:14.100965,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-58
28,DC:A6:32:2C:3B:38,2020-07-22 18:18:15.116606,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-58
29,DC:A6:32:2C:3B:38,2020-07-22 18:18:16.046018,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
30,DC:A6:32:2C:3B:38,2020-07-22 18:18:17.006152,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
31,DC:A6:32:2C:3B:38,2020-07-22 18:18:18.013044,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-65
32,DC:A6:32:2C:3B:38,2020-07-22 18:18:19.080092,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
33,DC:A6:32:2C:3B:38,2020-07-22 18:18:20.165033,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
34,DC:A6:32:2C:3B:38,2020-07-22 18:18:21.024628,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
35,DC:A6:32:2C:3B:38,2020-07-22 18:18:22.014391,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
36,DC:A6:32:2C:3B:38,2020-07-22 18:18:23.270296,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
37,DC:A6:32:2C:3B:38,2020-07-22 18:18:24.066942,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-65
38,DC:A6:32:2C:3B:38,2020-07-22 18:18:25.084702,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
39,DC:A6:32:2C:3B:38,2020-07-22 18:18:26.016304,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
40,DC:A6:32:2C:3B:38,2020-07-22 18:18:27.062963,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-65
41,DC:A6:32:2C:3B:38,2020-07-22 18:18:28.138941,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-65
42,DC:A6:32:2C:3B:38,2020-07-22 18:18:29.121171,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
43,DC:A6:32:2C:3B:38,2020-07-22 18:18:30.015360,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
44,DC:A6:32:2C:3B:38,2020-07-22 18:18:31.141938,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
45,DC:A6:32:2C:3B:38,2020-07-22 18:18:32.192956,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
46,DC:A6:32:2C:3B:38,2020-07-22 18:18:33.089074,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-60
47,DC:A6:32:2C:3B:38,2020-07-22 18:18:34.127543,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
48,DC:A6:32:2C:3B:38,2020-07-22 18:18:35.069849,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
49,DC:A6:32:2C:3B:38,2020-07-22 18:18:36.020969,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
50,DC:A6:32:2C:3B:38,2020-07-22 18:18:37.007007,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
51,DC:A6:32:2C:3B:38,2020-07-22 18:18:38.043058,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
52,DC:A6:32:2C:3B:38,2020-07-22 18:18:39.020357,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
53,DC:A6:32:2C:3B:38,2020-07-22 18:18:40.013991,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
54,DC:A6:32:2C:3B:38,2020-07-22 18:18:41.045017,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
55,DC:A6:32:2C:3B:38,2020-07-22 18:18:42.031750,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
56,DC:A6:32:2C:3B:38,2020-07-22 18:18:43.099716,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
57,DC:A6:32:2C:3B:38,2020-07-22 18:18:44.091387,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
58,DC:A6:32:2C:3B:38,2020-07-22 18:18:45.125644,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-64
59,DC:A6:32:2C:3B:38,2020-07-22 18:18:46.137336,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-63
