SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-16 22:22:04.312280,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
1,DC:A6:32:2C:3B:38,2020-07-16 22:22:05.071730,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
2,DC:A6:32:2C:3B:38,2020-07-16 22:22:06.086751,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
3,DC:A6:32:2C:3B:38,2020-07-16 22:22:07.031723,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
4,DC:A6:32:2C:3B:38,2020-07-16 22:22:08.011723,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
5,DC:A6:32:2C:3B:38,2020-07-16 22:22:09.018297,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
6,DC:A6:32:2C:3B:38,2020-07-16 22:22:10.096780,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
7,DC:A6:32:2C:3B:38,2020-07-16 22:22:11.054215,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
8,DC:A6:32:2C:3B:38,2020-07-16 22:22:12.192980,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-60
9,DC:A6:32:2C:3B:38,2020-07-16 22:22:13.007323,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
10,DC:A6:32:2C:3B:38,2020-07-16 22:22:14.134258,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-61
11,DC:A6:32:2C:3B:38,2020-07-16 22:22:15.019902,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-60
12,DC:A6:32:2C:3B:38,2020-07-16 22:22:16.068024,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-57
13,DC:A6:32:2C:3B:38,2020-07-16 22:22:17.046763,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-61
