SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-16 21:58:58.238347,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
1,DC:A6:32:2C:3B:38,2020-07-16 21:58:59.032363,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
2,DC:A6:32:2C:3B:38,2020-07-16 21:59:00.045431,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
3,DC:A6:32:2C:3B:38,2020-07-16 21:59:01.058529,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
4,DC:A6:32:2C:3B:38,2020-07-16 21:59:02.066682,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
5,DC:A6:32:2C:3B:38,2020-07-16 21:59:03.032308,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
6,DC:A6:32:2C:3B:38,2020-07-16 21:59:04.009865,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
7,DC:A6:32:2C:3B:38,2020-07-16 21:59:05.072320,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-56
8,DC:A6:32:2C:3B:38,2020-07-16 21:59:06.002311,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
9,DC:A6:32:2C:3B:38,2020-07-16 21:59:07.047378,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
10,DC:A6:32:2C:3B:38,2020-07-16 21:59:08.058587,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
11,DC:A6:32:2C:3B:38,2020-07-16 21:59:09.012368,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
12,DC:A6:32:2C:3B:38,2020-07-16 21:59:10.088673,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
13,DC:A6:32:2C:3B:38,2020-07-16 21:59:11.006195,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-60
14,DC:A6:32:2C:3B:38,2020-07-16 21:59:12.012448,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
15,DC:A6:32:2C:3B:38,2020-07-16 21:59:13.051186,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-52
16,DC:A6:32:2C:3B:38,2020-07-16 21:59:14.029891,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
17,DC:A6:32:2C:3B:38,2020-07-16 21:59:15.071161,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-52
18,DC:A6:32:2C:3B:38,2020-07-16 21:59:16.082423,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
19,DC:A6:32:2C:3B:38,2020-07-16 21:59:17.251320,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
20,DC:A6:32:2C:3B:38,2020-07-16 21:59:18.018692,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
21,DC:A6:32:2C:3B:38,2020-07-16 21:59:19.065574,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
22,DC:A6:32:2C:3B:38,2020-07-16 21:59:20.169962,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
23,DC:A6:32:2C:3B:38,2020-07-16 21:59:21.048716,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
24,DC:A6:32:2C:3B:38,2020-07-16 21:59:22.026302,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
25,DC:A6:32:2C:3B:38,2020-07-16 21:59:23.056270,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
26,DC:A6:32:2C:3B:38,2020-07-16 21:59:24.038813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-60
27,DC:A6:32:2C:3B:38,2020-07-16 21:59:25.083116,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
28,DC:A6:32:2C:3B:38,2020-07-16 21:59:26.010039,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
29,DC:A6:32:2C:3B:38,2020-07-16 21:59:27.115074,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
30,DC:A6:32:2C:3B:38,2020-07-16 21:59:28.052612,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
31,DC:A6:32:2C:3B:38,2020-07-16 21:59:29.017556,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
32,DC:A6:32:2C:3B:38,2020-07-16 21:59:30.540153,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
33,DC:A6:32:2C:3B:38,2020-07-16 21:59:31.011328,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
34,DC:A6:32:2C:3B:38,2020-07-16 21:59:32.302692,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-56
35,DC:A6:32:2C:3B:38,2020-07-16 21:59:33.021365,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
36,DC:A6:32:2C:3B:38,2020-07-16 21:59:34.101377,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-58
37,DC:A6:32:2C:3B:38,2020-07-16 21:59:35.031372,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
38,DC:A6:32:2C:3B:38,2020-07-16 21:59:36.110162,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-63
39,DC:A6:32:2C:3B:38,2020-07-16 21:59:37.058974,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-61
40,DC:A6:32:2C:3B:38,2020-07-16 21:59:38.418980,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
41,DC:A6:32:2C:3B:38,2020-07-16 21:59:39.003299,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
42,DC:A6:32:2C:3B:38,2020-07-16 21:59:40.103334,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-54
43,DC:A6:32:2C:3B:38,2020-07-16 21:59:41.002672,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
44,DC:A6:32:2C:3B:38,2020-07-16 21:59:42.143392,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
45,DC:A6:32:2C:3B:38,2020-07-16 21:59:43.030297,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
46,DC:A6:32:2C:3B:38,2020-07-16 21:59:44.127094,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
47,DC:A6:32:2C:3B:38,2020-07-16 21:59:45.052868,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
48,DC:A6:32:2C:3B:38,2020-07-16 21:59:46.032771,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-59
49,DC:A6:32:2C:3B:38,2020-07-16 21:59:47.019087,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
50,DC:A6:32:2C:3B:38,2020-07-16 21:59:48.034061,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,2,-53
