SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-17 19:42:28.659558,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
1,DC:A6:32:2C:3B:38,2020-07-17 19:42:29.005952,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
2,DC:A6:32:2C:3B:38,2020-07-17 19:42:30.100107,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
3,DC:A6:32:2C:3B:38,2020-07-17 19:42:31.518773,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
4,DC:A6:32:2C:3B:38,2020-07-17 19:42:32.013742,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
5,DC:A6:32:2C:3B:38,2020-07-17 19:42:33.058481,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
6,DC:A6:32:2C:3B:38,2020-07-17 19:42:34.185130,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
7,DC:A6:32:2C:3B:38,2020-07-17 19:42:35.014432,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
8,DC:A6:32:2C:3B:38,2020-07-17 19:42:36.231474,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
9,DC:A6:32:2C:3B:38,2020-07-17 19:42:37.235115,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
10,DC:A6:32:2C:3B:38,2020-07-17 19:42:38.031507,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
11,DC:A6:32:2C:3B:38,2020-07-17 19:42:39.004011,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
12,DC:A6:32:2C:3B:38,2020-07-17 19:42:40.102757,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
13,DC:A6:32:2C:3B:38,2020-07-17 19:42:41.078935,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
14,DC:A6:32:2C:3B:38,2020-07-17 19:42:42.003951,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
15,DC:A6:32:2C:3B:38,2020-07-17 19:42:43.010251,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
16,DC:A6:32:2C:3B:38,2020-07-17 19:42:44.027915,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
17,DC:A6:32:2C:3B:38,2020-07-17 19:42:45.014064,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
18,DC:A6:32:2C:3B:38,2020-07-17 19:42:46.061533,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
19,DC:A6:32:2C:3B:38,2020-07-17 19:42:47.012169,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
20,DC:A6:32:2C:3B:38,2020-07-17 19:42:48.140332,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
21,DC:A6:32:2C:3B:38,2020-07-17 19:42:49.080583,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
22,DC:A6:32:2C:3B:38,2020-07-17 19:42:50.147928,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
23,DC:A6:32:2C:3B:38,2020-07-17 19:42:51.009727,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
24,DC:A6:32:2C:3B:38,2020-07-17 19:42:52.104130,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
25,DC:A6:32:2C:3B:38,2020-07-17 19:42:53.027897,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
26,DC:A6:32:2C:3B:38,2020-07-17 19:42:54.037908,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
27,DC:A6:32:2C:3B:38,2020-07-17 19:42:55.160527,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
28,DC:A6:32:2C:3B:38,2020-07-17 19:42:56.251737,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
29,DC:A6:32:2C:3B:38,2020-07-17 19:42:57.039236,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
30,DC:A6:32:2C:3B:38,2020-07-17 19:42:58.043031,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
31,DC:A6:32:2C:3B:38,2020-07-17 19:42:59.499362,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
32,DC:A6:32:2C:3B:38,2020-07-17 19:43:00.090539,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
