SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-18 00:30:29.081453,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
1,DC:A6:32:2C:3B:38,2020-07-18 00:30:30.068549,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-57
2,DC:A6:32:2C:3B:38,2020-07-18 00:30:31.010942,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
3,DC:A6:32:2C:3B:38,2020-07-18 00:30:32.003451,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
4,DC:A6:32:2C:3B:38,2020-07-18 00:30:33.157281,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
5,DC:A6:32:2C:3B:38,2020-07-18 00:30:34.239727,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
6,DC:A6:32:2C:3B:38,2020-07-18 00:30:35.040973,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
7,DC:A6:32:2C:3B:38,2020-07-18 00:30:36.389130,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
8,DC:A6:32:2C:3B:38,2020-07-18 00:30:37.039751,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
9,DC:A6:32:2C:3B:38,2020-07-18 00:30:38.252342,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
10,DC:A6:32:2C:3B:38,2020-07-18 00:30:39.088620,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
11,DC:A6:32:2C:3B:38,2020-07-18 00:30:40.008560,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
12,DC:A6:32:2C:3B:38,2020-07-18 00:30:41.049823,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
13,DC:A6:32:2C:3B:38,2020-07-18 00:30:42.029822,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
14,DC:A6:32:2C:3B:38,2020-07-18 00:30:43.103066,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
15,DC:A6:32:2C:3B:38,2020-07-18 00:30:44.027378,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
16,DC:A6:32:2C:3B:38,2020-07-18 00:30:45.039982,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
