SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 18:57:17.085251,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
1,DC:A6:32:2C:3B:38,2020-07-22 18:57:18.008327,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
2,DC:A6:32:2C:3B:38,2020-07-22 18:57:19.025798,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-88
3,DC:A6:32:2C:3B:38,2020-07-22 18:57:20.148248,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-87
4,DC:A6:32:2C:3B:38,2020-07-22 18:57:21.075764,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
5,DC:A6:32:2C:3B:38,2020-07-22 18:57:22.134567,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
6,DC:A6:32:2C:3B:38,2020-07-22 18:57:23.054517,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
7,DC:A6:32:2C:3B:38,2020-07-22 18:57:24.014512,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-86
8,DC:A6:32:2C:3B:38,2020-07-22 18:57:25.088287,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-88
9,DC:A6:32:2C:3B:38,2020-07-22 18:57:26.130795,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
10,DC:A6:32:2C:3B:38,2020-07-22 18:57:27.023280,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
11,DC:A6:32:2C:3B:38,2020-07-22 18:57:28.084616,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-86
12,DC:A6:32:2C:3B:38,2020-07-22 18:57:29.125807,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
13,DC:A6:32:2C:3B:38,2020-07-22 18:57:30.004561,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
