SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-18 00:09:52.109375,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
1,DC:A6:32:2C:3B:38,2020-07-18 00:09:53.210738,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
2,DC:A6:32:2C:3B:38,2020-07-18 00:09:54.011942,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
3,DC:A6:32:2C:3B:38,2020-07-18 00:09:55.416463,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-68
4,DC:A6:32:2C:3B:38,2020-07-18 00:09:56.245848,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
5,DC:A6:32:2C:3B:38,2020-07-18 00:09:57.203253,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
6,DC:A6:32:2C:3B:38,2020-07-18 00:09:58.060759,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
7,DC:A6:32:2C:3B:38,2020-07-18 00:09:59.012039,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
8,DC:A6:32:2C:3B:38,2020-07-18 00:10:00.058303,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
9,DC:A6:32:2C:3B:38,2020-07-18 00:10:01.039012,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
10,DC:A6:32:2C:3B:38,2020-07-18 00:10:02.023477,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
11,DC:A6:32:2C:3B:38,2020-07-18 00:10:03.024035,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
12,DC:A6:32:2C:3B:38,2020-07-18 00:10:04.120986,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
13,DC:A6:32:2C:3B:38,2020-07-18 00:10:05.127238,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
14,DC:A6:32:2C:3B:38,2020-07-18 00:10:06.056018,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
15,DC:A6:32:2C:3B:38,2020-07-18 00:10:07.152396,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
16,DC:A6:32:2C:3B:38,2020-07-18 00:10:08.252365,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
17,DC:A6:32:2C:3B:38,2020-07-18 00:10:09.175507,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
18,DC:A6:32:2C:3B:38,2020-07-18 00:10:10.131121,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
19,DC:A6:32:2C:3B:38,2020-07-18 00:10:11.266225,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-68
20,DC:A6:32:2C:3B:38,2020-07-18 00:10:12.004937,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
21,DC:A6:32:2C:3B:38,2020-07-18 00:10:13.282563,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
22,DC:A6:32:2C:3B:38,2020-07-18 00:10:14.413784,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-68
23,DC:A6:32:2C:3B:38,2020-07-18 00:10:15.062512,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
24,DC:A6:32:2C:3B:38,2020-07-18 00:10:16.071305,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
25,DC:A6:32:2C:3B:38,2020-07-18 00:10:17.005733,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
26,DC:A6:32:2C:3B:38,2020-07-18 00:10:18.140198,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
27,DC:A6:32:2C:3B:38,2020-07-18 00:10:19.003960,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
28,DC:A6:32:2C:3B:38,2020-07-18 00:10:20.043947,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
29,DC:A6:32:2C:3B:38,2020-07-18 00:10:21.023957,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
30,DC:A6:32:2C:3B:38,2020-07-18 00:10:22.141493,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
31,DC:A6:32:2C:3B:38,2020-07-18 00:10:23.032769,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
32,DC:A6:32:2C:3B:38,2020-07-18 00:10:24.031642,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
33,DC:A6:32:2C:3B:38,2020-07-18 00:10:25.016649,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
34,DC:A6:32:2C:3B:38,2020-07-18 00:10:26.066634,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
35,DC:A6:32:2C:3B:38,2020-07-18 00:10:27.111647,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
36,DC:A6:32:2C:3B:38,2020-07-18 00:10:28.841703,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
37,DC:A6:32:2C:3B:38,2020-07-18 00:10:29.016684,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
38,DC:A6:32:2C:3B:38,2020-07-18 00:10:30.339339,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
39,DC:A6:32:2C:3B:38,2020-07-18 00:10:31.143081,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
40,DC:A6:32:2C:3B:38,2020-07-18 00:10:32.119408,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
41,DC:A6:32:2C:3B:38,2020-07-18 00:10:33.163134,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
