SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-18 01:50:26.029055,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
1,DC:A6:32:2C:3B:38,2020-07-18 01:50:27.044961,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
2,DC:A6:32:2C:3B:38,2020-07-18 01:50:28.149813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-48
3,DC:A6:32:2C:3B:38,2020-07-18 01:50:29.164813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
4,DC:A6:32:2C:3B:38,2020-07-18 01:50:30.068833,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
5,DC:A6:32:2C:3B:38,2020-07-18 01:50:31.024866,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-48
6,DC:A6:32:2C:3B:38,2020-07-18 01:50:32.274820,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
7,DC:A6:32:2C:3B:38,2020-07-18 01:50:33.049923,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
8,DC:A6:32:2C:3B:38,2020-07-18 01:50:34.107964,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
9,DC:A6:32:2C:3B:38,2020-07-18 01:50:35.003622,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
10,DC:A6:32:2C:3B:38,2020-07-18 01:50:36.129935,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
11,DC:A6:32:2C:3B:38,2020-07-18 01:50:37.385491,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
12,DC:A6:32:2C:3B:38,2020-07-18 01:50:38.219880,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
13,DC:A6:32:2C:3B:38,2020-07-18 01:50:39.072376,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
14,DC:A6:32:2C:3B:38,2020-07-18 01:50:40.009895,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
15,DC:A6:32:2C:3B:38,2020-07-18 01:50:41.069908,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
16,DC:A6:32:2C:3B:38,2020-07-18 01:50:42.084385,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
17,DC:A6:32:2C:3B:38,2020-07-18 01:50:43.432512,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-48
18,DC:A6:32:2C:3B:38,2020-07-18 01:50:44.026833,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
19,DC:A6:32:2C:3B:38,2020-07-18 01:50:45.099959,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
20,DC:A6:32:2C:3B:38,2020-07-18 01:50:46.043715,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
21,DC:A6:32:2C:3B:38,2020-07-18 01:50:47.481294,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
22,DC:A6:32:2C:3B:38,2020-07-18 01:50:48.012532,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
23,DC:A6:32:2C:3B:38,2020-07-18 01:50:49.163741,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
24,DC:A6:32:2C:3B:38,2020-07-18 01:50:50.093761,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
25,DC:A6:32:2C:3B:38,2020-07-18 01:50:51.055013,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
26,DC:A6:32:2C:3B:38,2020-07-18 01:50:52.043310,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
27,DC:A6:32:2C:3B:38,2020-07-18 01:50:53.050826,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-48
28,DC:A6:32:2C:3B:38,2020-07-18 01:50:54.018226,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
29,DC:A6:32:2C:3B:38,2020-07-18 01:50:55.052700,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
30,DC:A6:32:2C:3B:38,2020-07-18 01:50:56.143936,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-46
31,DC:A6:32:2C:3B:38,2020-07-18 01:50:57.005119,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-51
32,DC:A6:32:2C:3B:38,2020-07-18 01:50:58.265116,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-48
33,DC:A6:32:2C:3B:38,2020-07-18 01:50:59.012728,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
34,DC:A6:32:2C:3B:38,2020-07-18 01:51:00.017625,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
35,DC:A6:32:2C:3B:38,2020-07-18 01:51:01.035853,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
36,DC:A6:32:2C:3B:38,2020-07-18 01:51:02.146429,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
37,DC:A6:32:2C:3B:38,2020-07-18 01:51:03.070189,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
38,DC:A6:32:2C:3B:38,2020-07-18 01:51:04.025793,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
39,DC:A6:32:2C:3B:38,2020-07-18 01:51:05.252880,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
40,DC:A6:32:2C:3B:38,2020-07-18 01:51:06.069053,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
41,DC:A6:32:2C:3B:38,2020-07-18 01:51:07.050230,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-49
42,DC:A6:32:2C:3B:38,2020-07-18 01:51:08.062788,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
43,DC:A6:32:2C:3B:38,2020-07-18 01:51:09.373357,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
44,DC:A6:32:2C:3B:38,2020-07-18 01:51:10.042777,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-50
45,DC:A6:32:2C:3B:38,2020-07-18 01:51:11.025294,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
46,DC:A6:32:2C:3B:38,2020-07-18 01:51:12.212891,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
47,DC:A6:32:2C:3B:38,2020-07-18 01:51:13.064073,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-45
