SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 18:27:27.023967,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
1,DC:A6:32:2C:3B:38,2020-07-22 18:27:28.250622,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
2,DC:A6:32:2C:3B:38,2020-07-22 18:27:29.021775,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
3,DC:A6:32:2C:3B:38,2020-07-22 18:27:30.013000,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
4,DC:A6:32:2C:3B:38,2020-07-22 18:27:31.067448,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
5,DC:A6:32:2C:3B:38,2020-07-22 18:27:32.263785,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
6,DC:A6:32:2C:3B:38,2020-07-22 18:27:33.359414,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
7,DC:A6:32:2C:3B:38,2020-07-22 18:27:34.063094,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
8,DC:A6:32:2C:3B:38,2020-07-22 18:27:35.110598,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
9,DC:A6:32:2C:3B:38,2020-07-22 18:27:36.060627,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
10,DC:A6:32:2C:3B:38,2020-07-22 18:27:37.186949,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
11,DC:A6:32:2C:3B:38,2020-07-22 18:27:38.025008,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
12,DC:A6:32:2C:3B:38,2020-07-22 18:27:39.101913,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
13,DC:A6:32:2C:3B:38,2020-07-22 18:27:40.151970,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
14,DC:A6:32:2C:3B:38,2020-07-22 18:27:41.013191,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
15,DC:A6:32:2C:3B:38,2020-07-22 18:27:42.139459,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
16,DC:A6:32:2C:3B:38,2020-07-22 18:27:43.047043,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
17,DC:A6:32:2C:3B:38,2020-07-22 18:27:44.049567,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
18,DC:A6:32:2C:3B:38,2020-07-22 18:27:45.089524,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
19,DC:A6:32:2C:3B:38,2020-07-22 18:27:46.280777,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
20,DC:A6:32:2C:3B:38,2020-07-22 18:27:47.019547,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
21,DC:A6:32:2C:3B:38,2020-07-22 18:27:48.022711,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
22,DC:A6:32:2C:3B:38,2020-07-22 18:27:49.013334,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
23,DC:A6:32:2C:3B:38,2020-07-22 18:27:50.109739,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
