SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 18:09:01.657397,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
1,DC:A6:32:2C:3B:38,2020-07-22 18:09:02.014930,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
2,DC:A6:32:2C:3B:38,2020-07-22 18:09:03.078421,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
3,DC:A6:32:2C:3B:38,2020-07-22 18:09:04.078375,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-54
4,DC:A6:32:2C:3B:38,2020-07-22 18:09:05.217141,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
5,DC:A6:32:2C:3B:38,2020-07-22 18:09:06.011918,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
6,DC:A6:32:2C:3B:38,2020-07-22 18:09:07.050327,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
7,DC:A6:32:2C:3B:38,2020-07-22 18:09:08.041534,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
8,DC:A6:32:2C:3B:38,2020-07-22 18:09:09.044671,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
9,DC:A6:32:2C:3B:38,2020-07-22 18:09:10.179695,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
10,DC:A6:32:2C:3B:38,2020-07-22 18:09:11.043052,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
11,DC:A6:32:2C:3B:38,2020-07-22 18:09:12.084775,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-62
12,DC:A6:32:2C:3B:38,2020-07-22 18:09:13.113484,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-62
13,DC:A6:32:2C:3B:38,2020-07-22 18:09:14.038491,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-62
14,DC:A6:32:2C:3B:38,2020-07-22 18:09:15.094783,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
15,DC:A6:32:2C:3B:38,2020-07-22 18:09:16.050964,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-62
16,DC:A6:32:2C:3B:38,2020-07-22 18:09:17.028664,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-61
17,DC:A6:32:2C:3B:38,2020-07-22 18:09:18.034821,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
18,DC:A6:32:2C:3B:38,2020-07-22 18:09:19.014226,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
19,DC:A6:32:2C:3B:38,2020-07-22 18:09:20.014833,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
20,DC:A6:32:2C:3B:38,2020-07-22 18:09:21.079303,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
21,DC:A6:32:2C:3B:38,2020-07-22 18:09:22.054952,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-56
22,DC:A6:32:2C:3B:38,2020-07-22 18:09:23.036137,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
23,DC:A6:32:2C:3B:38,2020-07-22 18:09:24.013635,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
24,DC:A6:32:2C:3B:38,2020-07-22 18:09:25.057430,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-62
25,DC:A6:32:2C:3B:38,2020-07-22 18:09:26.009912,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
26,DC:A6:32:2C:3B:38,2020-07-22 18:09:27.266312,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-55
