SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-21 01:55:07.446201,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
1,DC:A6:32:2C:3B:38,2020-07-21 01:55:08.086476,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
2,DC:A6:32:2C:3B:38,2020-07-21 01:55:09.066235,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
3,DC:A6:32:2C:3B:38,2020-07-21 01:55:10.036249,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
4,DC:A6:32:2C:3B:38,2020-07-21 01:55:11.110176,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
5,DC:A6:32:2C:3B:38,2020-07-21 01:55:12.036553,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
6,DC:A6:32:2C:3B:38,2020-07-21 01:55:13.156539,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
7,DC:A6:32:2C:3B:38,2020-07-21 01:55:14.039107,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
8,DC:A6:32:2C:3B:38,2020-07-21 01:55:15.230452,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
9,DC:A6:32:2C:3B:38,2020-07-21 01:55:16.087983,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
10,DC:A6:32:2C:3B:38,2020-07-21 01:55:17.116817,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
11,DC:A6:32:2C:3B:38,2020-07-21 01:55:18.121946,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
12,DC:A6:32:2C:3B:38,2020-07-21 01:55:19.108233,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
13,DC:A6:32:2C:3B:38,2020-07-21 01:55:20.137110,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
14,DC:A6:32:2C:3B:38,2020-07-21 01:55:21.032759,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
15,DC:A6:32:2C:3B:38,2020-07-21 01:55:22.070947,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
16,DC:A6:32:2C:3B:38,2020-07-21 01:55:23.152379,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
17,DC:A6:32:2C:3B:38,2020-07-21 01:55:24.172515,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
18,DC:A6:32:2C:3B:38,2020-07-21 01:55:25.063732,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
19,DC:A6:32:2C:3B:38,2020-07-21 01:55:26.007526,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
20,DC:A6:32:2C:3B:38,2020-07-21 01:55:27.204502,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
21,DC:A6:32:2C:3B:38,2020-07-21 01:55:28.116455,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
22,DC:A6:32:2C:3B:38,2020-07-21 01:55:29.007828,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
23,DC:A6:32:2C:3B:38,2020-07-21 01:55:30.112893,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
24,DC:A6:32:2C:3B:38,2020-07-21 01:55:31.069877,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
25,DC:A6:32:2C:3B:38,2020-07-21 01:55:32.188045,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
26,DC:A6:32:2C:3B:38,2020-07-21 01:55:33.008107,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
27,DC:A6:32:2C:3B:38,2020-07-21 01:55:34.041959,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
28,DC:A6:32:2C:3B:38,2020-07-21 01:55:35.059531,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
29,DC:A6:32:2C:3B:38,2020-07-21 01:55:36.302323,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
30,DC:A6:32:2C:3B:38,2020-07-21 01:55:37.009750,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
31,DC:A6:32:2C:3B:38,2020-07-21 01:55:38.012330,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
32,DC:A6:32:2C:3B:38,2020-07-21 01:55:39.391152,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
33,DC:A6:32:2C:3B:38,2020-07-21 01:55:40.129937,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
34,DC:A6:32:2C:3B:38,2020-07-21 01:55:41.105725,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
35,DC:A6:32:2C:3B:38,2020-07-21 01:55:42.005149,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
36,DC:A6:32:2C:3B:38,2020-07-21 01:55:43.074605,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
37,DC:A6:32:2C:3B:38,2020-07-21 01:55:44.034069,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
38,DC:A6:32:2C:3B:38,2020-07-21 01:55:45.141626,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
39,DC:A6:32:2C:3B:38,2020-07-21 01:55:46.048603,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
40,DC:A6:32:2C:3B:38,2020-07-21 01:55:47.086250,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
41,DC:A6:32:2C:3B:38,2020-07-21 01:55:48.029375,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
42,DC:A6:32:2C:3B:38,2020-07-21 01:55:49.029468,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
43,DC:A6:32:2C:3B:38,2020-07-21 01:55:50.239595,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
44,DC:A6:32:2C:3B:38,2020-07-21 01:55:51.129622,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
45,DC:A6:32:2C:3B:38,2020-07-21 01:55:52.040936,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
46,DC:A6:32:2C:3B:38,2020-07-21 01:55:53.281039,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
47,DC:A6:32:2C:3B:38,2020-07-21 01:55:54.011205,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
48,DC:A6:32:2C:3B:38,2020-07-21 01:55:55.264988,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
49,DC:A6:32:2C:3B:38,2020-07-21 01:55:56.030102,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
50,DC:A6:32:2C:3B:38,2020-07-21 01:55:57.312690,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
51,DC:A6:32:2C:3B:38,2020-07-21 01:55:58.072733,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
52,DC:A6:32:2C:3B:38,2020-07-21 01:55:59.041536,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
53,DC:A6:32:2C:3B:38,2020-07-21 01:56:00.130382,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
54,DC:A6:32:2C:3B:38,2020-07-21 01:56:01.101717,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
