SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-17 19:24:57.415491,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
1,DC:A6:32:2C:3B:38,2020-07-17 19:24:58.028619,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
2,DC:A6:32:2C:3B:38,2020-07-17 19:24:59.118696,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
3,DC:A6:32:2C:3B:38,2020-07-17 19:25:00.063660,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
4,DC:A6:32:2C:3B:38,2020-07-17 19:25:01.012396,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
5,DC:A6:32:2C:3B:38,2020-07-17 19:25:02.122443,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
6,DC:A6:32:2C:3B:38,2020-07-17 19:25:03.011174,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
7,DC:A6:32:2C:3B:38,2020-07-17 19:25:04.040075,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
8,DC:A6:32:2C:3B:38,2020-07-17 19:25:05.056252,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
9,DC:A6:32:2C:3B:38,2020-07-17 19:25:06.070084,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
10,DC:A6:32:2C:3B:38,2020-07-17 19:25:07.020051,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
11,DC:A6:32:2C:3B:38,2020-07-17 19:25:08.977566,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
12,DC:A6:32:2C:3B:38,2020-07-17 19:25:09.015021,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
13,DC:A6:32:2C:3B:38,2020-07-17 19:25:10.061383,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
14,DC:A6:32:2C:3B:38,2020-07-17 19:25:11.241349,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
15,DC:A6:32:2C:3B:38,2020-07-17 19:25:12.014464,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
16,DC:A6:32:2C:3B:38,2020-07-17 19:25:13.064518,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
17,DC:A6:32:2C:3B:38,2020-07-17 19:25:14.145758,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
18,DC:A6:32:2C:3B:38,2020-07-17 19:25:15.036408,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
19,DC:A6:32:2C:3B:38,2020-07-17 19:25:16.139062,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
20,DC:A6:32:2C:3B:38,2020-07-17 19:25:17.085826,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
21,DC:A6:32:2C:3B:38,2020-07-17 19:25:18.110257,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
22,DC:A6:32:2C:3B:38,2020-07-17 19:25:19.062785,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
23,DC:A6:32:2C:3B:38,2020-07-17 19:25:20.041498,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
24,DC:A6:32:2C:3B:38,2020-07-17 19:25:21.372771,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
25,DC:A6:32:2C:3B:38,2020-07-17 19:25:22.059082,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
26,DC:A6:32:2C:3B:38,2020-07-17 19:25:23.011544,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
27,DC:A6:32:2C:3B:38,2020-07-17 19:25:24.051556,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
28,DC:A6:32:2C:3B:38,2020-07-17 19:25:25.095339,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
29,DC:A6:32:2C:3B:38,2020-07-17 19:25:26.924829,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
30,DC:A6:32:2C:3B:38,2020-07-17 19:25:27.019157,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
31,DC:A6:32:2C:3B:38,2020-07-17 19:25:28.238588,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
32,DC:A6:32:2C:3B:38,2020-07-17 19:25:29.489207,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
33,DC:A6:32:2C:3B:38,2020-07-17 19:25:30.054184,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
34,DC:A6:32:2C:3B:38,2020-07-17 19:25:31.032954,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
35,DC:A6:32:2C:3B:38,2020-07-17 19:25:32.129322,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
36,DC:A6:32:2C:3B:38,2020-07-17 19:25:33.057377,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
37,DC:A6:32:2C:3B:38,2020-07-17 19:25:34.144338,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
38,DC:A6:32:2C:3B:38,2020-07-17 19:25:35.061823,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
39,DC:A6:32:2C:3B:38,2020-07-17 19:25:36.223220,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
40,DC:A6:32:2C:3B:38,2020-07-17 19:25:37.123141,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
41,DC:A6:32:2C:3B:38,2020-07-17 19:25:38.134357,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
42,DC:A6:32:2C:3B:38,2020-07-17 19:25:39.124349,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
43,DC:A6:32:2C:3B:38,2020-07-17 19:25:40.103184,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
44,DC:A6:32:2C:3B:38,2020-07-17 19:25:41.204395,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
45,DC:A6:32:2C:3B:38,2020-07-17 19:25:42.161900,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
46,DC:A6:32:2C:3B:38,2020-07-17 19:25:43.010676,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
47,DC:A6:32:2C:3B:38,2020-07-17 19:25:44.048185,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
48,DC:A6:32:2C:3B:38,2020-07-17 19:25:45.019473,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-81
49,DC:A6:32:2C:3B:38,2020-07-17 19:25:46.077676,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
50,DC:A6:32:2C:3B:38,2020-07-17 19:25:47.060774,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
51,DC:A6:32:2C:3B:38,2020-07-17 19:25:48.032070,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
52,DC:A6:32:2C:3B:38,2020-07-17 19:25:49.096399,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
53,DC:A6:32:2C:3B:38,2020-07-17 19:25:50.192068,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
54,DC:A6:32:2C:3B:38,2020-07-17 19:25:51.050825,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
55,DC:A6:32:2C:3B:38,2020-07-17 19:25:52.179654,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
56,DC:A6:32:2C:3B:38,2020-07-17 19:25:53.088373,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
57,DC:A6:32:2C:3B:38,2020-07-17 19:25:54.017129,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
58,DC:A6:32:2C:3B:38,2020-07-17 19:25:55.175299,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
59,DC:A6:32:2C:3B:38,2020-07-17 19:25:56.039666,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
60,DC:A6:32:2C:3B:38,2020-07-17 19:25:57.160982,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
61,DC:A6:32:2C:3B:38,2020-07-17 19:25:58.074772,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
62,DC:A6:32:2C:3B:38,2020-07-17 19:25:59.083520,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
63,DC:A6:32:2C:3B:38,2020-07-17 19:26:00.192276,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
64,DC:A6:32:2C:3B:38,2020-07-17 19:26:01.022276,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
65,DC:A6:32:2C:3B:38,2020-07-17 19:26:02.089815,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
66,DC:A6:32:2C:3B:38,2020-07-17 19:26:03.062379,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
67,DC:A6:32:2C:3B:38,2020-07-17 19:26:04.014894,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
68,DC:A6:32:2C:3B:38,2020-07-17 19:26:05.022416,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
69,DC:A6:32:2C:3B:38,2020-07-17 19:26:06.021146,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
70,DC:A6:32:2C:3B:38,2020-07-17 19:26:07.031137,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
71,DC:A6:32:2C:3B:38,2020-07-17 19:26:08.004950,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
72,DC:A6:32:2C:3B:38,2020-07-17 19:26:09.025547,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
73,DC:A6:32:2C:3B:38,2020-07-17 19:26:10.121276,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
74,DC:A6:32:2C:3B:38,2020-07-17 19:26:11.103724,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-81
75,DC:A6:32:2C:3B:38,2020-07-17 19:26:12.262487,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
76,DC:A6:32:2C:3B:38,2020-07-17 19:26:13.052507,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-81
77,DC:A6:32:2C:3B:38,2020-07-17 19:26:14.005631,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
78,DC:A6:32:2C:3B:38,2020-07-17 19:26:15.072535,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
79,DC:A6:32:2C:3B:38,2020-07-17 19:26:16.017604,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-83
80,DC:A6:32:2C:3B:38,2020-07-17 19:26:17.231933,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-83
81,DC:A6:32:2C:3B:38,2020-07-17 19:26:18.090157,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
82,DC:A6:32:2C:3B:38,2020-07-17 19:26:19.042606,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
83,DC:A6:32:2C:3B:38,2020-07-17 19:26:20.038857,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-81
84,DC:A6:32:2C:3B:38,2020-07-17 19:26:21.083892,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-82
85,DC:A6:32:2C:3B:38,2020-07-17 19:26:22.015813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-83
86,DC:A6:32:2C:3B:38,2020-07-17 19:26:23.020233,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-84
87,DC:A6:32:2C:3B:38,2020-07-17 19:26:24.005803,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
88,DC:A6:32:2C:3B:38,2020-07-17 19:26:25.160271,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
89,DC:A6:32:2C:3B:38,2020-07-17 19:26:26.040278,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
90,DC:A6:32:2C:3B:38,2020-07-17 19:26:27.045307,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
91,DC:A6:32:2C:3B:38,2020-07-17 19:26:28.207848,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
92,DC:A6:32:2C:3B:38,2020-07-17 19:26:29.011560,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-83
93,DC:A6:32:2C:3B:38,2020-07-17 19:26:30.085322,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-82
94,DC:A6:32:2C:3B:38,2020-07-17 19:26:31.001646,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
95,DC:A6:32:2C:3B:38,2020-07-17 19:26:32.197216,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
96,DC:A6:32:2C:3B:38,2020-07-17 19:26:33.114126,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
97,DC:A6:32:2C:3B:38,2020-07-17 19:26:34.321700,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-81
98,DC:A6:32:2C:3B:38,2020-07-17 19:26:35.243550,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
99,DC:A6:32:2C:3B:38,2020-07-17 19:26:36.394307,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
100,DC:A6:32:2C:3B:38,2020-07-17 19:26:37.250479,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
101,DC:A6:32:2C:3B:38,2020-07-17 19:26:38.021808,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
102,DC:A6:32:2C:3B:38,2020-07-17 19:26:39.266760,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
103,DC:A6:32:2C:3B:38,2020-07-17 19:26:40.068043,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
104,DC:A6:32:2C:3B:38,2020-07-17 19:26:41.003123,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-75
105,DC:A6:32:2C:3B:38,2020-07-17 19:26:42.088063,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
106,DC:A6:32:2C:3B:38,2020-07-17 19:26:43.153716,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
107,DC:A6:32:2C:3B:38,2020-07-17 19:26:44.008089,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
108,DC:A6:32:2C:3B:38,2020-07-17 19:26:45.200621,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
109,DC:A6:32:2C:3B:38,2020-07-17 19:26:46.021908,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
110,DC:A6:32:2C:3B:38,2020-07-17 19:26:47.422027,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
111,DC:A6:32:2C:3B:38,2020-07-17 19:26:48.075668,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
112,DC:A6:32:2C:3B:38,2020-07-17 19:26:49.155042,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
113,DC:A6:32:2C:3B:38,2020-07-17 19:26:50.086307,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
114,DC:A6:32:2C:3B:38,2020-07-17 19:26:51.220720,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
115,DC:A6:32:2C:3B:38,2020-07-17 19:26:52.491383,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
116,DC:A6:32:2C:3B:38,2020-07-17 19:26:53.042132,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
