SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 19:07:52.663836,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
1,DC:A6:32:2C:3B:38,2020-07-22 19:07:53.043340,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-78
2,DC:A6:32:2C:3B:38,2020-07-22 19:07:54.122438,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
3,DC:A6:32:2C:3B:38,2020-07-22 19:07:55.222383,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
4,DC:A6:32:2C:3B:38,2020-07-22 19:07:56.029891,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
5,DC:A6:32:2C:3B:38,2020-07-22 19:07:57.104995,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
6,DC:A6:32:2C:3B:38,2020-07-22 19:07:59.003730,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
7,DC:A6:32:2C:3B:38,2020-07-22 19:08:00.046909,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
8,DC:A6:32:2C:3B:38,2020-07-22 19:08:01.157443,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
9,DC:A6:32:2C:3B:38,2020-07-22 19:08:02.161317,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
10,DC:A6:32:2C:3B:38,2020-07-22 19:08:03.023699,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
11,DC:A6:32:2C:3B:38,2020-07-22 19:08:04.254965,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
12,DC:A6:32:2C:3B:38,2020-07-22 19:08:05.009967,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
13,DC:A6:32:2C:3B:38,2020-07-22 19:08:06.022509,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
14,DC:A6:32:2C:3B:38,2020-07-22 19:08:07.132554,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
15,DC:A6:32:2C:3B:38,2020-07-22 19:08:08.101316,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
16,DC:A6:32:2C:3B:38,2020-07-22 19:08:09.080056,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
17,DC:A6:32:2C:3B:38,2020-07-22 19:08:10.713795,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
18,DC:A6:32:2C:3B:38,2020-07-22 19:08:11.041313,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
19,DC:A6:32:2C:3B:38,2020-07-22 19:08:12.020058,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
20,DC:A6:32:2C:3B:38,2020-07-22 19:08:13.600140,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
21,DC:A6:32:2C:3B:38,2020-07-22 19:08:14.035128,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
22,DC:A6:32:2C:3B:38,2020-07-22 19:08:15.051343,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-76
23,DC:A6:32:2C:3B:38,2020-07-22 19:08:16.025119,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
24,DC:A6:32:2C:3B:38,2020-07-22 19:08:17.005108,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
25,DC:A6:32:2C:3B:38,2020-07-22 19:08:18.008221,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-77
26,DC:A6:32:2C:3B:38,2020-07-22 19:08:19.101448,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
27,DC:A6:32:2C:3B:38,2020-07-22 19:08:20.023944,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
28,DC:A6:32:2C:3B:38,2020-07-22 19:08:21.158289,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
29,DC:A6:32:2C:3B:38,2020-07-22 19:08:22.083917,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
30,DC:A6:32:2C:3B:38,2020-07-22 19:08:23.190170,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
31,DC:A6:32:2C:3B:38,2020-07-22 19:08:24.113967,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
32,DC:A6:32:2C:3B:38,2020-07-22 19:08:25.315288,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-79
33,DC:A6:32:2C:3B:38,2020-07-22 19:08:26.024026,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-80
