SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-22 02:43:55.937053,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
1,DC:A6:32:2C:3B:38,2020-07-22 02:43:56.020722,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-68
2,DC:A6:32:2C:3B:38,2020-07-22 02:43:57.013469,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
3,DC:A6:32:2C:3B:38,2020-07-22 02:43:58.020347,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
4,DC:A6:32:2C:3B:38,2020-07-22 02:43:59.062290,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
5,DC:A6:32:2C:3B:38,2020-07-22 02:44:00.073447,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-67
6,DC:A6:32:2C:3B:38,2020-07-22 02:44:01.094060,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
7,DC:A6:32:2C:3B:38,2020-07-22 02:44:02.383460,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
8,DC:A6:32:2C:3B:38,2020-07-22 02:44:03.038995,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
9,DC:A6:32:2C:3B:38,2020-07-22 02:44:04.891482,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
10,DC:A6:32:2C:3B:38,2020-07-22 02:44:05.037085,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
11,DC:A6:32:2C:3B:38,2020-07-22 02:44:06.022087,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
12,DC:A6:32:2C:3B:38,2020-07-22 02:44:07.007811,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-67
13,DC:A6:32:2C:3B:38,2020-07-22 02:44:08.104666,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
14,DC:A6:32:2C:3B:38,2020-07-22 02:44:09.028381,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-67
15,DC:A6:32:2C:3B:38,2020-07-22 02:44:10.255819,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-69
16,DC:A6:32:2C:3B:38,2020-07-22 02:44:11.343322,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
17,DC:A6:32:2C:3B:38,2020-07-22 02:44:12.173463,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-67
18,DC:A6:32:2C:3B:38,2020-07-22 02:44:13.052058,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
19,DC:A6:32:2C:3B:38,2020-07-22 02:44:14.187077,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
20,DC:A6:32:2C:3B:38,2020-07-22 02:44:15.084588,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
21,DC:A6:32:2C:3B:38,2020-07-22 02:44:16.360761,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
22,DC:A6:32:2C:3B:38,2020-07-22 02:44:17.730828,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
23,DC:A6:32:2C:3B:38,2020-07-22 02:44:18.029473,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-66
24,DC:A6:32:2C:3B:38,2020-07-22 02:44:19.105727,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-59
25,DC:A6:32:2C:3B:38,2020-07-22 02:44:20.180813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-67
